TRAIT	FILE	N	Neff	Main_GWAS	log10_Me	ID	UKBB Column Codes	Additional information on coding
Height	body_HEIGHTz	458303	673879	Yes	3.56	1	50-0.0	-
BMI	body_BMIz	457824	532396	Yes	3.78	2	21001-0.0	-
Waist-hip Ratio	body_WHRadjBMIz	458417	502773	Yes	3.5	3	48-0.0/49-0.0	-
Forced Vital Capacity (FVC)	lung_FVCzSMOKE	371949	422877	Yes	3.87	5	3062-0.0~3062-0.2	-
FEV1-FVC Ratio	lung_FEV1FVCzSMOKE	371949	446812	Yes	3.38	6	3062/3063-0.0~3062/3063-0.2	-
Red Blood Cell Count	blood_RED_COUNT	445174	526541	Yes	2.67	7	30010-0.0	-
Red Blood Cell Distribution Width	blood_RBC_DISTRIB_WIDTH	442700	514929	Yes	2.7	8	30070-0.0	-
White Blood Cell Count	blood_WHITE_COUNT	444502	503190	Yes	3.3	9	30000-0.0	-
Platelet Count	blood_PLATELET_COUNT	444382	600969	Yes	2.97	10	30080-0.0	-
Eosinophil Count	blood_EOSINOPHIL_COUNT	439938	513860	Yes	3.05	11	30150-0.0	-
Systolic Blood Pressure	bp_SYSTOLICadjMEDz	422771	469767	Yes	3.81	12	4080-0.0~4080-0.1	-
Cardiovascular Diseases	disease_CARDIOVASCULAR	459324	477807	Yes	3.81	13	20002-0.0~20002-0.28	1065 (hypertension); 1066 (heart/cardiac problem); 1067 (peripheral vascular disease); 1068 (venous thromboembolic disease); 1081 (stroke); 1082 (transient ischaemic attack (tia)); 1083 (subdural haemorrhage/haematoma); 1425 (cerebral aneurysm); 1473 (high cholesterol); 1493 (other venous/lymphatic disease)
Type 2 Diabetes	disease_T2D	459324	468298	Yes	2.85	14	2443.0.0 + 2976-0.0	Age of diagnosis > 30
Asthma	disease_ASTHMA_DIAGNOSED	458699	445866	Yes	3.12	16	6152-0.0~6152-0.4	Asthma diagnosed by doctor
Eczema	disease_ALLERGY_ECZEMA_DIAGNOSED	458699	461200	Yes	3.2	17	6152-0.0~6152-0.4	"Hayfever, allergic rhinitis or eczema diagnosed by doctor"
Hypothyroidism	disease_HYPOTHYROIDISM_SELF_REP	459324	473703	Yes		18	20002-0.0~20002-0.28	1226
Neuroticism	mental_NEUROTICISM	372066	393412	Yes	3.99	19	20127-0.0	neuroticism score
Morning Person	other_MORNINGPERSON	410520	452897	Yes	4.02	20	1180-0.0	a more morning person vs. a more evening person
Tanning	pigment_TANNING	449984	513537	Yes		22	1727-0.0	very/moderately tanned vs. mildly/occasionanlly/never tanned
Smoking Status	cov_SMOKING_STATUS	457683	468171	Yes	4.11	24	20116-0.0	1=Previous; 2=Current
Balding Type I	body_BALDING1	208336	247332	Yes	2.59	25	2395-0.0	balding pattern 1 vs. other
Lymphocyte Count	blood_LYMPHOCYTE_COUNT	443940	509278	Yes		28	30120-0.0	-
Sunburn Occasion	pigment_SUNBURN	344229	350233	Yes	1.99	44	1737-0.0	any sunburn occasion or not
Age at Menarche	repro_MENARCHE_AGE	242278	279471	Yes	3.47	45	2714-0.0	-
Age at Menopause	repro_MENOPAUSE_AGE	143025	156364	Yes	2.55	46	3581-0.0	-
Number Children (Pooled)	repro_NumberChildrenEverBorn_Pooled	456500	402204	Yes	4.5	47	2405-0.0 + 2734-0.0	More than 6 children coded as outliers
Total Protein	biochemistry_TotalProtein	397652	447085	Yes				
Urea	biochemistry_Urea	433620	465900	Yes				
Vitamin D	biochemistry_VitaminD	415700	446716	Yes				
Heel T Score	bmd_HEEL_TSCORE_78	262512	326604	Yes				
Pulse Pressure	bp_PULSE	149721	150313	Yes				
Peak Flow measurement	lung_PEF	418448	433563	Yes				
Intelligence score	other_FLUID_INTELLIGENCE_SCORE	147807	152286	Yes				
"Age at First Birth, F"	repro_AgeFirstBirth_Female	169403	190970	Yes				
Bone mineral density (Heel T Score)	bmd_HEEL_TSCOREz	445921	583315	No	2.9	4	4106-0.0+4125-0.0	-
